Species,cat,special,Location,Detritus,Algae,Invertebrates,plants,fruits/seeds,molluscs,substratum,wood,Fish,Herbivore ,Carnivory ,Durophagy
Ancistrus brevipinnis,Detritivore,5,Surface,52,6,6,14,0,2,22,0,0,72,6,2
Ancistrus ranunulus,Algivore,1,Surface,0,100,0,0,0,0,0,0,0,100,0,0
Aphanotorulus emarginatus,Detritivore,1,Substrate,100,0,0,0,0,0,0,0,0,100,0,0
Baryancistrus chrysolomus,Algivore,2,Surface,0,90,10,0,0,0,0,0,0,90,10,0
Baryancistrus demantoides,Algivore,1,Surface,0,100,0,0,0,0,0,0,0,100,0,0
Chaetostoma dermorhynchus,Algivore,2,Surface,0,90,10,0,0,0,0,0,0,90,10,0
Dekeyseria scaphirhyncha,Detritivore,2,Surface,75,25,0,0,0,0,0,0,0,100,0,0
Farlowella acus,Detritivore,2,Surface,45,40,0,0,0,0,0,0,0,85,0,0
Harttia loricariformis,Insectivore,2,Surface,0,0,20,0,0,0,80,0,0,0,20,0
Hisonotus notatus,Algivore,3,Surface,0,80,0,20,10,0,0,0,0,100,0,10
Hypancistrus debilittera,Algivore,2,Surface,0,100,10,0,0,0,0,0,0,100,10,0
Hypancistrus inspector,Detritivore,3,Surface,40,40,0,0,10,0,0,0,0,80,0,10
Hypoptopoma psilogaster,Detritivore,3,Surface,60,30,10,0,0,0,0,0,0,90,10,0
Hypostomus cochliodon,Pseudoxylovore,1,Surface,0,0,0,0,0,0,0,100,0,100,0,0
Hypostomus commersoni,Algivore,2,Surface,50,50,0,0,0,0,0,0,0,100,0,0
Hypostomus laplatae,Insectivore,3,Surface,20,0,50,0,0,0,30,0,0,20,50,0
Hypostomus plecostomus,Detritivore,2,Surface,66.66666667,0,0,0,0,0,33.33333333,0,0,66.66666667,0,0
Hypostomus regani,Detritivore,2,Surface,80,0,0,0,0,0,20,0,0,80,0,0
Hypostomus watawa,Detritivore,4,Surface,66.66666667,1.666666667,11.66666667,1.666666667,0,0,0,0,0,70,11.66666667,0
Lamontichthys filamentosus,Detritivore,2,Surface,75,25,0,0,0,0,0,0,0,100,0,0
Lasiancistrus mayoloi,Algivore,1,Surface,0,100,0,0,0,0,0,0,0,100,0,0
Leporacanthicus heterodon,Insectivore,1,Surface,0,0,100,0,0,0,0,0,0,0,100,0
Limatulichthys griesus,Insectivore,1,Substrate,0,0,100,0,0,0,0,0,0,0,100,0
Lithoxus lithoides,Algivore,2,Surface,0,80,20,0,0,0,0,0,0,80,20,0
Loricaria cataphracta,Omnivore,7,Substrate,20,16.66666667,20,3.333333333,16.66666667,16.66666667,6.666666667,0,0,40,20,33.33333333
Loricariichthys maculatus,Detritivore,6,Surface,47.5,15,17.5,5,0,12.5,2.5,0,0,67.5,17.5,12.5
Neoplecostomus granosus,Insectivore,2,Surface,0,30,70,0,0,0,0,0,0,30,70,0
Otocinclus vittatus,Detritivore,1,Surface,100,0,0,0,0,0,0,0,0,100,0,0
Panaqolus maccus,Pseudoxylovore,1,Surface,0,0,0,0,0,0,0,100,0,100,0,0
Panaque armbrusteri,Pseudoxylovore,1,Surface,0,0,0,0,0,0,0,100,0,100,0,0
Parancistrus aurantiacus,Algivore,1,Surface,0,90,0,0,0,0,0,0,0,90,0,0
Pareiorhaphis cameroni,Detritivore,6,Surface,26.66666667,16.66666667,30,6.666666667,8.333333333,0,6.666666667,0,0,50,30,8.333333333
Peckoltia braueri,Detritivore,4,Surface,50,15,30,15,0,0,0,0,0,80,30,0
Planiloricaria cryptodon,Insectivore,1,Substrate,0,0,0,0,0,100,0,0,0,0,50,50
Pseudacanthicus pirarara,Insectivore,1,Surface,0,0,100,0,0,0,0,0,0,0,100,0
Pseudohemiodon apithanos,Algivore,4,Substrate,13.33333333,40,33.33333333,0,0,0,13.33333333,0,0,53.33333333,33.33333333,0
Pseudoloricaria laeviuscula,Algivore,4,Substrate,30,40,5,25,0,0,0,0,0,95,5,0
Pterygoplichthys gibbiceps,Algivore,4,Surface,16.66666667,40,0,6.666666667,0,0,0,0,3.333333333,63.33333333,0,0
Rhinotocinclus eppleyi,Detritivore,1,Surface,100,0,0,0,0,0,0,0,0,100,0,0
Rhinelepis strigosa,Detritivore,2,Surface,100,0,0.07,0,0,0,0,0,0,100,0.07,0
Rineloricaria lanceolata,Detritivore,6,Surface,50,17.5,25,2.5,2.5,0,2.5,0,0,70,25,2.5
Scobiancistrus auratus,Insectivore,2,Surface,0,0,85,15,0,0,0,0,0,15,85,0
Spatuloricaria evansii,Insectivore,2,Substrate,10,0,90,0,0,0,0,0,0,10,90,0
Spectracanthicus zuanoni,Algivore,2,Surface,0,50,0,50,0,0,0,0,0,100,0,0
Sturisoma robustum,Detritivore,1,Surface,100,0,0,0,0,0,0,0,0,100,0,0
