Name,Corrected
Acanthicus_hystrix,Acanthicus hystrix
Ancistrus_brevipinnis,Ancistrus brevipinnis
Ancistrus_ranunculus,Ancistrus ranunculus
Aphanotorulus_emarginatus,Aphanotorulus emarginatus
Astroblepus_caquetae,Astroblepus mindoensis
Baryancistrus_chrysolomus,Baryancistrus chrysolomus
Baryancistrus_demantoides,Baryancistrus demantoides
Chaetostoma_dermorhynchus,Chaetostoma dermorhynchus
Cordylancistrus_platycephalus,Cordylancistrus setosus
Crossoloricaria_variegata,Crossoloricaria variegata
Cteniloricaria_platystoma,Cteniloricaria platystoma
Dekeyseria_scaphirhynchus,Dekeyseria scaphirhynchus
Farlowella_acus,Farlowella acus
Harttia_loricariformis,Harttia loricariformis
Hemiancistrus_medians,Hemiancistrus medians
Hemiodontichthys_acipenserinus,Hemiodontichthys acipenserinus
Hisonotus_notatus,Hisonotus notatus
Hypancistrus_debilittera,Hypancistrus debilittera
Hypancistrus_furunculus,Hypancistrus inspector
Micracanthicus_vandragti,Hypancistrus vandragti
Hypoptopoma_guianense,Niobichthys ferrarisi
Hypoptopoma_incognitum,Hypoptopoma psilogaster
Hypostomus_cochliodon,Hypostomus cochliodon
Hypostomus_commersoni,Hypostomus commersoni
Hypostomus_laplatae,Hypostomus laplatae
Hypostomus_plecostomus,Hypostomus plecostomus
Hypostomus_regani,Hypostomus regani
Hypostomus_watwata,Hypostomus watwata
Isorineloricaria_spinosissima,Isorineloricaria spinosissima
Lamontichthys_filamentosus,Lamontichthys filamentosus
Lasiancistrus_caucanus,Lasiancistrus mayoloi
Leporacanthicus_heterodon,Leporacanthicus heterodon
Limatulichthys_griseus,Limatulichthys griseus
Lithogenes_villosus,Lithogenes villosus
Lithoxus_lithoides,Lithoxus lithoides
Loricaria_cataphracta,Loricaria cataphracta
Loricariichthys_maculatus,Loricariichthys maculatus
Neoplecostomus_franciscoensis,Neoplecostomus granosus
Otocinclus_vittatus,Otocinclus vittatus
Otothyris_juquiae,Otothyris sp.
Oxyropsis_carinata,Oxyropsis carinata
Panaqolus_maccus,Panaqolus maccus
Panaque_armbrusteri,Panaque armbrusteri
Parancistrus_nudiventris,Parancistrus aurantiacus
Pareiorhaphis_calmoni,Pareiorhaphis cameroni
Parotocinclus_jumbo,Parotocinclus jumbo
Peckoltia_braueri,Peckoltia braueri
Peckoltia_sabaji,Peckoltia sabaji
Planiloricaria_cryptodon,Planiloricaria cryptodon
Pseudacanthicus_sp.Xingu_L025,Pseudacanthicus pirarara
Pseudancistrus_barbatus,Pseudancistrus barbatus
Pseudohemiodon_apithanos,Pseudohemiodon apithanos
Pseudoloricaria_laeviuscula,Pseudoloricaria laeviuscula
Pseudorinelepis_genibarbis,Pseudorinelepis genibarbis
Pterygoplichthys_gibbiceps,Pterygoplichthys gibbiceps
Parotocinclus_eppleyi,Rhinotocinclus eppleyi
Rhinelepis_aspera,Rhinelepis strigosa
Rineloricaria_lanceolata,Rineloricaria lanceolata
Scobinancistrus_aureatus,Scobinancistrus aureatus
Spatuloricaria_cf.evansii_LBP,Spatuloricaria evansii
Spectracanthicus_immaculatus,Spectracanthicus murinus
Spectracanthicus_zuanoni,Spectracanthicus zuanoni
Sturisoma_robustum,Sturisoma robustum
Sturisomatichthys_tamanae,Sturisomatichthys tamanae
