Corrected,pharyngealjaw,Subfamily,oraljaw,oral jaw 1
Acanthicus hystrix,Bladed,Hypostominae,circular but robust with taller body,Typical
Ancistrus brevipinnis,Bladed,Hypostominae,circular but robust with taller body,Typical
Ancistrus ranunculus,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Aphanotorulus emarginatus,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Astroblepus mindoensis,Bladed,Outgroup: Astroblepidae,Basal,Basal
Baryancistrus chrysolomus,Bladed,Hypostominae,circular but robust with taller body,Typical
Baryancistrus demantoides,Bladed,Hypostominae,circular but robust with taller body,Typical
Chaetostoma dermorhynchus,Bladed,Hypostominae,Robust no noticable body,Typical
Cordylancistrus setosus,Bladed,Hypostominae,Robust no noticable body,Typical
Crossoloricaria variegata,Molariform,Loricariinae,reduced,reduced
Cteniloricaria platystoma,Bladed,Loricariinae,elongate tooth cup typical large body,Typical
Dekeyseria scaphirhynchus,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Farlowella acus,Bladed,Loricariinae,circular but robust with taller body,Typical
Harttia loricariformis,Bladed,Loricariinae,elongate tooth cup typical large body,Typical
Hemiancistrus medians,Bladed,Hypostominae,Robust no noticable body,Typical
Hemiodontichthys acipenserinus,Molariform,Loricariinae,reduced,reduced
Hisonotus notatus,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Hypancistrus debilittera,Bladed,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Hypancistrus inspector,Bladed,Hypostominae,circular but robust with taller body,Typical
Hypancistrus vandragti,Bladed,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Hypoptopoma psilogaster,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Hypostomus cochliodon,Bladed,Hypostominae,circular but robust with taller body,Typical
Hypostomus commersoni,Bladed,Hypostominae,circular but robust with taller body,Typical
Hypostomus laplatae,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Hypostomus plecostomus,Bladed,Hypostominae,circular but robust with taller body,Typical
Hypostomus regani,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Hypostomus watwata,Bladed,Hypostominae,circular but robust with taller body,Typical
Isorineloricaria spinosissima,Bladed,Hypostominae,circular but robust with taller body,Typical
Lamontichthys filamentosus,Bladed,Loricariinae,elongate tooth cup typical large body,Typical
Lasiancistrus mayoloi,Bladed,Hypostominae,circular but robust with taller body,Typical
Leporacanthicus heterodon,Bladed,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Limatulichthys griseus,Bladed,Loricariinae,reduced,reduced
Lithogenes villosus,Bladed,Lithogeninae,elongate and long at toothcup,elongate and long at toothcup
Lithoxus lithoides,Bladed,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Loricaria cataphracta,Molariform,Loricariinae,reduced,reduced
Loricariichthys maculatus,Bladed,Loricariinae,elongate tooth cup typical large body,Typical
Neoplecostomus granosus,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Niobichthys ferrarisi,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Otocinclus vittatus,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Otothyris sp.,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Oxyropsis carinata,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Panaqolus maccus,Bladed,Hypostominae,circular but robust with taller body,Typical
Panaque armbrusteri,Bladed,Hypostominae,circular but robust with taller body,Typical
Parancistrus aurantiacus,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Pareiorhaphis cameroni,Bladed,Hypoptopominae,elongate tooth cup typical large body,Typical
Parotocinclus jumbo,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Peckoltia braueri,Bladed,Hypostominae,circular but robust with taller body,Typical
Peckoltia sabaji,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Planiloricaria cryptodon,Molariform,Loricariinae,reduced,reduced
Pseudacanthicus pirarara,Bladed,Hypostominae,circular but robust with taller body,Typical
Pseudancistrus barbatus,Bladed,Hypostominae,elongate tooth cup typical large body,Typical
Pseudohemiodon apithanos,Molariform,Loricariinae,reduced,reduced
Pseudoloricaria laeviuscula,Bladed,Loricariinae,reduced,reduced
Pseudorinelepis genibarbis,Bladed,Rhinelepinae,circular but robust with taller body,Typical
Pterygoplichthys gibbiceps,Bladed,Hypostominae,circular but robust with taller body,Typical
Rhinelepis strigosa,Bladed,Rhinelepinae,elongate tooth cup typical large body,Typical
Rhinotocinclus eppleyi,Bladed,Hypoptopominae,circular but robust with taller body,Typical
Rineloricaria lanceolata,Molariform,Loricariinae,reduced,reduced
Scobinancistrus aureatus,Bladed,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Spatuloricaria evansii,Bladed,Loricariinae,elongate and long at toothcup,elongate and long at toothcup
Spectracanthicus murinus,Bladed,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Spectracanthicus zuanoni,Bladed,Hypostominae,circular but robust with taller body,Typical
Sturisoma robustum,Bladed,Loricariinae,elongate tooth cup typical large body,Typical
Sturisomatichthys tamanae,Bladed,Loricariinae,elongate tooth cup typical large body,Typical
