Corrected,Jaw,Subfamily,Niche,Oral
Acanthicus hystrix,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Ancistrus brevipinnis,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Ancistrus ranunculus,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Aphanotorulus emarginatus,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Astroblepus mindoensis,Carp-like,Outgroup: Astroblepidae,Carnivore (Benthic),Basal
Baryancistrus chrysolomus,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Baryancistrus demantoides,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Chaetostoma dermorhynchus,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Cordylancistrus setosus,"Bladed, small teeth",Hypostominae,Unknown (Surface),Typical
Crossoloricaria variegata,Labroid-like,Loricariinae,Omnivore (Benthic),reduced
Cteniloricaria platystoma,"Bladed, small teeth",Loricariinae,Unknown (Surface),Typical
Dekeyseria scaphirhynchus,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Farlowella acus,Carp-like,Loricariinae,Algivore (Surface),Typical
Harttia loricariformis,"Bladed, small teeth",Loricariinae,Detritivore (Benthic),Typical
Hemiancistrus medians,"Bladed, small teeth",Hypostominae,Unknown (Surface),Typical
Hemiodontichthys acipenserinus,Labroid-like,Loricariinae,Unknown (Benthic),reduced
Hisonotus notatus,"Bladed, small teeth",Hypoptopominae,Algivore (Surface),Typical
Hypancistrus debilittera,"Bladed, small teeth",Hypostominae,Algivore (Surface),elongate and long at toothcup
Hypancistrus inspector,"Bladed, small teeth",Hypostominae,Omnivore (Surface),Typical
Hypancistrus vandragti,"Bladed, small teeth",Hypostominae,Carnivore (Surface),elongate and long at toothcup
Hypoptopoma psilogaster,"Bladed, small teeth",Hypoptopominae,Pseudoxylophagous,Typical
Hypostomus cochliodon,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Hypostomus commersoni,"Bladed, small teeth",Hypostominae,Unknown (Surface),Typical
Hypostomus laplatae,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Hypostomus plecostomus,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Hypostomus regani,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Hypostomus watwata,"Bladed, small teeth",Hypostominae,Unknown (Surface),Typical
Isorineloricaria spinosissima,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Lamontichthys filamentosus,"Bladed, no teeth",Loricariinae,Algivore (Surface),Typical
Lasiancistrus mayoloi,"Bladed, small teeth",Hypostominae,Carnivore (Surface),Typical
Leporacanthicus heterodon,Comb-shaped,Hypostominae,Carnivore (Benthic),elongate and long at toothcup
Limatulichthys griseus,"Elongated, elongate teeth",Loricariinae,Unknown (Surface),reduced
Lithogenes villosus,"Bladed, small teeth",Lithogeninae,Omnivore (Surface),elongate and long at toothcup
Lithoxus lithoides,"Bladed, small teeth",Hypostominae,Omnivore (Benthic),elongate and long at toothcup
Loricaria cataphracta,Labroid-like,Loricariinae,Omnivore (Benthic),reduced
Loricariichthys maculatus,"Elongated, elongate teeth",Loricariinae,Omnivore (Surface),Typical
Neoplecostomus granosus,"Elongated, elongate teeth",Hypoptopominae,Unknown (Surface),Typical
Niobichthys ferrarisi,"Bladed, small teeth",Hypoptopominae,Detritivore (Surface),Typical
Otocinclus vittatus,"Bladed, small teeth",Hypoptopominae,Algivore (Surface),Typical
Otothyris sp.,"Bladed, small teeth",Hypoptopominae,Unknown (Surface),Typical
Oxyropsis carinata,"Bladed, small teeth",Hypoptopominae,Detritivore (Surface),Typical
Panaqolus maccus,"Bladed, small teeth",Hypostominae,Pseudoxylophagous,Typical
Panaque armbrusteri,"Bladed, small teeth",Hypostominae,Pseudoxylophagous,Typical
Parancistrus aurantiacus,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Pareiorhaphis cameroni,Carp-like,Hypoptopominae,Detritivore (Surface),Typical
Parotocinclus jumbo,"Bladed, small teeth",Hypoptopominae,Unknown (Surface),Typical
Peckoltia braueri,"Bladed, small teeth",Hypostominae,Unknown (Benthic),Typical
Peckoltia sabaji,"Bladed, small teeth",Hypostominae,Unknown (Surface),Typical
Planiloricaria cryptodon,Labroid-like,Loricariinae,Unknown (Surface),reduced
Pseudacanthicus pirarara,"Bladed, small teeth",Hypostominae,Carnivore (Surface),Typical
Pseudancistrus barbatus,"Bladed, small teeth",Hypostominae,Unknown (Surface),Typical
Pseudohemiodon apithanos,Labroid-like,Loricariinae,Omnivore (Benthic),reduced
Pseudoloricaria laeviuscula,"Elongated, elongate teeth",Loricariinae,Omnivore (Benthic),reduced
Pseudorinelepis genibarbis,"Bladed, small teeth",Rhinelepinae,Unknown (Surface),Typical
Pterygoplichthys gibbiceps,"Bladed, small teeth",Hypostominae,Detritivore (Surface),Typical
Rhinelepis strigosa,"Bladed, small teeth",Rhinelepinae,Detritivore (Surface),Typical
Rhinotocinclus eppleyi,"Bladed, small teeth",Hypoptopominae,Detritivore (Surface),Typical
Rineloricaria lanceolata,Labroid-like,Loricariinae,Detritivore (Benthic),reduced
Scobinancistrus aureatus,"Bladed, small teeth",Hypostominae,Carnivore (Surface),elongate and long at toothcup
Spatuloricaria evansii,"Elongated, elongate teeth",Loricariinae,Omnivore (Benthic),elongate and long at toothcup
Spectracanthicus murinus,"Bladed, small teeth",Hypostominae,Omnivore (Surface),elongate and long at toothcup
Spectracanthicus zuanoni,"Bladed, small teeth",Hypostominae,Algivore (Surface),Typical
Sturisoma robustum,"Bladed, no teeth",Loricariinae,Detritivore (Surface),Typical
Sturisomatichthys tamanae,"Bladed, no teeth",Loricariinae,Detritivore (Surface),Typical
